database_id,name,acronym,order,level,color,structure_database_id_path
15564,Mus musculus,mouse,0,-1,C86A39,/15564/
15565,neural plate,NP,1,0,C86A39,/15564/15565/
15566,forebrain,F,2,1,C86A39,/15564/15565/15566/
15567,secondary prosencephalon,SP,3,2,A84D10,/15564/15565/15566/15567/
15568,rostral secondary prosencephalon,RSP,4,3,A84D10,/15564/15565/15566/15567/15568/
15569,preoptic telencephalon,POTel,5,4,A84D10,/15564/15565/15566/15567/15568/15569/
15570,preoptic roof plate,POR,6,5,C86A39,/15564/15565/15566/15567/15568/15569/15570/
15571,rostral septocommissural area,RSCom,7,8,C86A39,/15564/15565/15566/15567/15568/15569/15570/15571/
15572,ventricular zone of RSCom,RSComv,8,9,C35C2E,/15564/15565/15566/15567/15568/15569/15570/15571/15572/
15573,anterior commissure bed,ACBed,9,11,C86A39,/15564/15565/15566/15567/15568/15569/15570/15571/15572/15573/
15574,mantle zone of RSCom,RSComm,10,9,C86A39,/15564/15565/15566/15567/15568/15569/15570/15571/15574/
15575,"median preoptic nucleus, commissural part",MnPOC,11,11,C86A39,/15564/15565/15566/15567/15568/15569/15570/15571/15574/15575/
15576,preoptic alar plate,POA,12,5,A84D10,/15564/15565/15566/15567/15568/15569/15576/
15577,preoptic area,PO,13,6,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/
111220530,ventricular zone of PO,POv,14,9,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/111220530/
111220532,mantle zone of PO,POm,15,9,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/111220532/
15578,lamina terminalis area,LTer,16,8,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/
15579,ventricular zone of LTer,LTerv,17,9,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15579/
15580,mantle zone of LTer,LTerm,18,9,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/
15581,periventricular stratum of the LTer,LTerp,19,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/
15582,vascular organ of the lamina terminalis,VOLT,20,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15581/15582/
15583,intermediate stratum of the LTer,LTeri,21,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/
15584,"median preoptic nucleus, intermediate part",MnPOI,22,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15583/15584/
15585,superficial stratum of the LTer,LTers,23,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/
15586,"median preoptic nucleus, superficial part",MnPOS,24,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15578/15580/15585/15586/
15587,first (dorsal) preoptic domain,PO1,25,8,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/15587/
15588,ventricular zone of PO1,PO1v,26,9,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15588/
15589,mantle zone of PO1,PO1m,27,9,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/
15590,periventricular stratum of PO1,PO1p,28,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/
15591,anteroventral periventricular preoptic nucleus,AVPe,29,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15591/
15592,dorsal septopreoptic nucleus,DSPO,30,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15590/15592/
15593,intermediate stratum of PO1,PO1i,31,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/
15594,parastrial preoptic nucleus,PS,32,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15594/
15595,"dorsomedial preoptic area, intermediate part",DMPAi,33,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15595/
15596,"lateral preoptic area, PO1 part",LPO1,34,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15593/15596/
15597,superficial stratum of PO1,PO1s,35,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/
15598,"dorsomedial preoptic area, superficial part",DMPAs,36,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15587/15589/15597/15598/
15599,second (ventral) preoptic domain,PO2,37,8,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/15599/
15600,ventricular zone of PO2,PO2v,38,9,A84D10,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15600/
15601,mantle zone of PO2,PO2m,39,9,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/
15602,periventricular stratum of PO2,PO2p,40,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/
15603,medial preoptic periventricular stratum,MPOPe,41,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15603/
15604,medial preoptic nucleus,MPO,42,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/
15605,lateral part of MPO,MPOL,43,12,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15605/
15606,medial part of MPO,MPOM,44,12,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15606/
15607,central part of MPO,MPOC,45,12,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15602/15604/15607/
15608,intermediate stratum of PO2,PO2i,46,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/
15609,"lateral preoptic nucleus, PO2 part",LPO2,47,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15608/15609/
15610,superficial stratum of PO2,PO2s,48,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/
15611,ventromedial preoptic nucleus,VMPO,49,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15611/
15612,ventrolateral preoptic nucleus,VLPO,50,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15577/15599/15601/15610/15612/
15613,preopto-hypothalamic band,POH,51,6,A84D10,/15564/15565/15566/15567/15568/15569/15576/15613/
15614,ventricular zone of POH,POHv,52,9,A84D10,/15564/15565/15566/15567/15568/15569/15576/15613/15614/
15615,mantle zone of POH,POHm,53,9,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/
15616,periventricular stratum of POH,POHp,54,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15616/
15617,intermediate stratum of POH,POHi,55,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/
15618,striohypothalamic nucleus,StHy,56,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15618/
15619,preopto-hypothalamic area,POHA,57,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15617/15619/
15620,superficial stratum of POH,POHs,58,10,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/
15621,episupraoptic nucleus,ESO,59,11,B46632,/15564/15565/15566/15567/15568/15569/15576/15613/15615/15620/15621/
15622,terminal hypothalamus (rostral hypothalamus),THy,60,4,A8663A,/15564/15565/15566/15567/15568/15622/
15623,alar part of terminal hypothalamus,THyA,61,5,A8663A,/15564/15565/15566/15567/15568/15622/15623/
15624,terminal paraventricular area of THyA,TPaA,62,6,A8663A,/15564/15565/15566/15567/15568/15622/15623/15624/
15625,ventricular zone of TPaA,TPaAv,63,9,A8663A,/15564/15565/15566/15567/15568/15622/15623/15624/15625/
15626,mantle zone of TPaA,TPaAm,64,9,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/
15627,periventricular stratum of TPaA,TPaAp,65,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/
15628,rostral paraventricular nucleus,RPa,66,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15627/15628/
15629,intermediate stratum of TPaA,TPaAi,67,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/
15630,lateral anterior hypothalamic nucleus,LA,68,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15630/
15631,terminal nucleus of the stria medullaris,TSM,69,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15629/15631/
15632,superficial stratum of TPaA,TPaAs,70,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/
15633,supraoptic nucleus,SO,71,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15624/15626/15632/15633/
15634,"eye vesicle, stalk/nerve",ES,72,6,A8663A,/15564/15565/15566/15567/15568/15622/15623/15634/
15635,"eye vesicle, pigmented retina",EPg,73,6,A8663A,/15564/15565/15566/15567/15568/15622/15623/15635/
15636,"eye vesicle, neural retina",EN,74,6,A8663A,/15564/15565/15566/15567/15568/15622/15623/15636/
15637,ventricular zone of neural retina,ENv,75,9,A8663A,/15564/15565/15566/15567/15568/15622/15623/15636/15637/
15638,mantle zone of neural retina,ENm,76,9,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/
15639,periventricular stratum of the retina,ENp,77,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/
15640,outer nuclear layer (photoreceptor layer),ON,78,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15640/
15641,outer plexiform layer,OPL,79,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15639/15641/
15642,intermediate stratum of the retina,ENi,80,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/
15643,horizontal cell layer,Hor,81,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15643/
15644,bipolar cell layer,Bi,82,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15644/
15645,Mueller cell layer,Mu,83,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15645/
15646,amacrine cell layer,Acr,84,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15646/
15647,inner plexiform layer,IPL,85,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15642/15647/
15648,superficial stratum of the retina,ENs,86,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/
15649,ganglion cell layer,GCL,87,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/
15650,ganglion cells,GC,88,12,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15650/
15651,inverted amacrine cells,IAcr,89,12,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15649/15651/
15652,optic fiber layer,OF,90,11,B0754D,/15564/15565/15566/15567/15568/15622/15623/15636/15638/15648/15652/
15653,terminal subparaventricular area of THyA,TSPaA,91,6,A8663A,/15564/15565/15566/15567/15568/15622/15623/15653/
15654,ventricular zone of TSPaA,TSPaAv,92,9,A8663A,/15564/15565/15566/15567/15568/15622/15623/15653/15654/
15655,mantle zone of TSPaA,TSPaAm,93,9,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/
15656,periventricular stratum of TSPaA,TSPaAp,94,10,B0754D,/15564/15565/15566/15567/15568/15622/15623/15653/15655/15656/
