section_data_set_database_id,gene_name,gene_acronym,gene_entrez id,gene_database id,probe_name,probe_database_id,energy_file_name,reference_space_database_id,reference_space_name,annotation_file_name,atlas_file_name,classifications
100023629,"cytochrome P450, family 19, subfamily a, polypeptide 1",Cyp19a1,13075,12856,RP_070130_05_A11,77505465,100023629_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100040992,"cholinergic receptor, nicotinic, alpha polypeptide 5",Chrna5,110835,74990,RP_080225_03_C05,80752797,100040992_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100042053,"potassium inwardly-rectifying channel, subfamily J, member 6",Kcnj6,16522,16295,RP_080916_03_G02,1002327,100042053_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/Potassium channel
100023643,"adrenergic receptor, alpha 2a",Adra2a,11551,11338,RP_070130_05_B06,77505493,100023643_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,G-protein coupled receptor
100040848,Eph receptor B2,Ephb2,13844,13622,RP_080312_04_A03,80888215,100040848_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100040044,"solute carrier family 32 (GABA vesicular transporter), member 1",Slc32a1,22348,22105,RP_071206_04_D12,79692921,100040044_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100024805,decorin,Dcn,13179,12959,RP_070227_06_E02,77537800,100024805_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100039200,interleukin 16,Il16,16170,15943,RP_080103_02_C05,80260072,100039200_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development/Neurological system process
100029271,"homeobox, msh-like 1",Msx1,17701,17468,RP_080717_03_D02,80928091,100029271_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Transcription factor
100042173,amphiregulin,Areg,11839,11626,RP_071126_03_F01,79537369,100042173_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,EGF receptor signaling pathway
100023630,dopamine receptor D1A,Drd1a,13488,13267,RP_070130_05_F11,77527860,100023630_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100024827,vav 2 oncogene,Vav2,22325,22082,RP_070227_06_B02,77537712,100024827_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/MAPKKK cascade/Inflammation mediated by chemokine and cytokine signaling pathway/PDGF signaling pathway/Calcium-mediated signaling
100023626,cannabinoid receptor 1 (brain),Cnr1,12801,12584,RP_070822_02_D01,78981595,100023626_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/G-protein coupled receptor
100024811,Eph receptor A7,Epha7,13841,13619,RP_080319_02_H02,80183847,100024811_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Nervous system development
100041840,glial cell line derived neurotrophic factor family receptor alpha 3,Gfra3,14587,14363,RP_080916_01_C12,1002447,100041840_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
100024688,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",Gabrb1,14400,14176,RP_070130_05_C02,77505517,100024688_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Ion channel activity/GABA receptor/Ligand-gated ion channel activity
100042071,"synuclein, alpha",Snca,20617,20379,RP_080916_04_E01,1002397,100042071_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,Neurological system process/Neurotransmitter secretion/Parkinson disease/MAPKKK cascade
100039180,follistatin-like 1,Fstl1,14314,14090,RP_080103_02_H03,80260304,100039180_energy.mhd,2,E13.5 Embryo,2_annotation.mhd,2_atlas.mhd,
